Model_name,Median,95% CI,Likely_models,organization
UNETR,0.942407488822937,64.9 - 97.0,[],NVIDIA
U-Net_CLIP,0.9531434774398804,88.0 - 96.9,['Swin_UNETR_CLIP'],CityU
Diff-UNet,0.960103839635849,90.3 - 97.5,"['STU-Net H', 'nnU-Net_ResEncL', 'MedNeXt', 'nnU-Net U-Net', 'STU-Net L']",HKUST
LHU-Net,0.9578460454940796,89.5 - 97.3,[],UR
NexToU,0.9595301449298859,87.3 - 97.4,"['STU-Net H', 'STU-Net B', 'STU-Net L']",HIT
Swin_UNETR_CLIP,0.9526037275791168,87.7 - 96.9,['U-Net_CLIP'],CityU
STU-Net H,0.959541380405426,91.5 - 97.4,"['Diff-UNet', 'NexToU']",Shanghai AI Lab
nnU-Net_ResEncL,0.9599798023700714,91.4 - 97.4,"['Diff-UNet', 'MedNeXt']",DKFZ
SegVol,0.9561270773410796,87.1 - 97.2,['UniSeg'],BAAI
UNEST,0.9452072978019714,82.7 - 96.9,['Swin_UNETR'],NVIDIA
MedNeXt,0.9600085616111755,91.6 - 97.5,"['Diff-UNet', 'nnU-Net_ResEncL', 'nnU-Net U-Net']",DKFZ
nnU-Net U-Net,0.9597613513469696,90.5 - 97.5,"['Diff-UNet', 'MedNeXt']",N/A
MedFormer,0.963562309741974,91.4 - 97.9,[],Rutgers
Swin_UNETR,0.9450103640556335,75.5 - 96.9,['UNEST'],Collecting Data
STU-Net B,0.9591573178768158,91.2 - 97.4,['NexToU'],Collecting Data
STU-Net L,0.9595934450626373,91.4 - 97.4,"['Diff-UNet', 'NexToU']",Collecting Data
UCTransNet,0.9392083287239075,55.2 - 97.0,['SAM-Adapter'],Collecting Data
UniSeg,0.956121414899826,91.2 - 97.1,['SegVol'],NPU
SAM-Adapter,0.9289552271366119,70.4 - 95.9,['UCTransNet'],Duke
