Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.8883666979063141,0.9115431308746338,
U-Net_CLIP,0.9240788745871636,0.94054114818573,"SegVol, NexToU, Swin_UNETR_CLIP"
Diff-UNet,0.9311272844005158,0.9452290534973145,"UniSeg, nnU-Net U-Net, LHU-Net, MedFormer"
LHU-Net,0.9301419297724312,0.9440619349479675,Diff-UNet
NexToU,0.926606756331448,0.9443806409835817,"U-Net_CLIP, SegVol"
Swin_UNETR_CLIP,0.9219639548861692,0.9406338334083556,"U-Net_CLIP, SegVol"
STU-Net H,0.9372733184400953,0.9489604830741882,"STU-Net L, MedNeXt"
nnU-Net_ResEncL,0.9344900538584011,0.946938157081604,"MedFormer, STU-Net B, MedNeXt, UniSeg, nnU-Net U-Net"
SegVol,0.9249911714139807,0.9416449069976808,"U-Net_CLIP, NexToU, Swin_UNETR_CLIP"
UNEST,0.9085675604510853,0.926020622253418,
MedNeXt,0.9350738899261253,0.9478045701980592,"MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H, UniSeg, nnU-Net U-Net"
nnU-Net U-Net,0.9334262181591937,0.94646018743515,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, MedNeXt, UniSeg"
MedFormer,0.9335131273853635,0.9469304978847504,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, MedNeXt, UniSeg, nnU-Net U-Net"
Swin_UNETR,0.9046047916948777,0.9277426600456238,
STU-Net B,0.9348006444244081,0.9468502402305604,"MedFormer, nnU-Net_ResEncL, STU-Net L, MedNeXt, UniSeg, nnU-Net U-Net"
STU-Net L,0.9367541701576231,0.94869863986969,"STU-Net B, MedNeXt, STU-Net H"
UCTransNet,0.8186400125405411,0.8576973080635071,
UniSeg,0.9329683646074411,0.9457108974456788,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, MedNeXt, nnU-Net U-Net"
SAM-Adapter,0.8795602670434609,0.9063112437725067,
