Model_name,Median,95% CI,Likely_models,organization
UNETR,0.9115431308746338,0.67 - 0.95,[],NVIDIA
U-Net_CLIP,0.94054114818573,0.77 - 0.96,['Swin_UNETR_CLIP'],CityU
Diff-UNet,0.9452290534973145,0.83 - 0.97,['UniSeg'],HKUST
LHU-Net,0.9440619349479675,0.83 - 0.97,['NexToU'],UR
NexToU,0.9443806409835817,0.77 - 0.97,['LHU-Net'],HIT
Swin_UNETR_CLIP,0.9406338334083556,0.78 - 0.96,"['U-Net_CLIP', 'SegVol']",CityU
STU-Net H,0.9489604830741882,0.85 - 0.97,[],Shanghai AI Lab
nnU-Net_ResEncL,0.946938157081604,0.84 - 0.97,"['nnU-Net U-Net', 'MedFormer', 'STU-Net B']",DKFZ
SegVol,0.9416449069976808,0.78 - 0.97,['Swin_UNETR_CLIP'],BAAI
UNEST,0.926020622253418,0.76 - 0.96,[],NVIDIA
MedNeXt,0.9478045701980592,0.84 - 0.97,['STU-Net L'],DKFZ
nnU-Net U-Net,0.94646018743515,0.83 - 0.97,"['nnU-Net_ResEncL', 'MedFormer', 'STU-Net B']",N/A
MedFormer,0.9469304978847504,0.83 - 0.97,"['nnU-Net_ResEncL', 'nnU-Net U-Net', 'STU-Net B']",Rutgers
Swin_UNETR,0.9277426600456238,0.68 - 0.96,[],Collecting Data
STU-Net B,0.9468502402305604,0.85 - 0.97,"['nnU-Net_ResEncL', 'nnU-Net U-Net', 'MedFormer']",Collecting Data
STU-Net L,0.94869863986969,0.85 - 0.97,['MedNeXt'],Collecting Data
UCTransNet,0.8576973080635071,0.46 - 0.94,[],Collecting Data
UniSeg,0.9457108974456788,0.84 - 0.97,['Diff-UNet'],NPU
SAM-Adapter,0.9063112437725067,0.64 - 0.95,[],Duke
