Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.6918629242289027,0.71523118019104,
U-Net_CLIP,0.7435936199545341,0.7529486417770386,Swin_UNETR_CLIP
Diff-UNet,0.7931122492044531,0.8061971068382263,nnU-Net U-Net
LHU-Net,0.75532704533958,0.7604179382324219,Swin_UNETR_CLIP
NexToU,0.8376272050573514,0.8584582805633545,
Swin_UNETR_CLIP,0.7504392463293308,0.761572003364563,"U-Net_CLIP, LHU-Net"
STU-Net H,0.7796171232095537,0.7861075699329376,"nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, UniSeg"
nnU-Net_ResEncL,0.7817212124320725,0.7915578484535217,"UniSeg, SegVol, STU-Net H, STU-Net B"
SegVol,0.7797472712428559,0.7849241495132446,"nnU-Net_ResEncL, STU-Net B, STU-Net H, UniSeg"
UNEST,0.7134653183679921,0.7359515130519867,
MedNeXt,0.8018383268223408,0.8118396401405334,
nnU-Net U-Net,0.7942016613874348,0.80544313788414,Diff-UNet
MedFormer,0.8281062049137441,0.8511532545089722,
Swin_UNETR,0.7207808806655948,0.7403203845024109,
STU-Net B,0.782812005062714,0.7916913330554962,"nnU-Net_ResEncL, SegVol, STU-Net H, UniSeg"
STU-Net L,0.7743643399631198,0.7810302376747131,STU-Net H
UCTransNet,0.8196708074461151,0.8395413458347321,
UniSeg,0.7830805496556725,0.7929205596446991,"nnU-Net_ResEncL, SegVol, STU-Net H, STU-Net B"
SAM-Adapter,0.4877246450393624,0.4965498149394989,
