Model_name,Median,95% CI,Likely_models,organization
UNETR,0.71523118019104,0.33 - 0.91,[],NVIDIA
U-Net_CLIP,0.7529486417770386,0.43 - 0.94,"['Swin_UNETR_CLIP', 'UNEST', 'Swin_UNETR']",CityU
Diff-UNet,0.8061971068382263,0.53 - 0.98,['nnU-Net U-Net'],HKUST
LHU-Net,0.7604179382324219,0.49 - 0.97,[],UR
NexToU,0.8584582805633545,0.59 - 0.99,[],HIT
Swin_UNETR_CLIP,0.761572003364563,0.46 - 0.94,"['U-Net_CLIP', 'UNEST', 'Swin_UNETR']",CityU
STU-Net H,0.7861075699329376,0.51 - 0.98,"['nnU-Net_ResEncL', 'SegVol', 'STU-Net B']",Shanghai AI Lab
nnU-Net_ResEncL,0.7915578484535217,0.50 - 0.99,"['STU-Net H', 'SegVol', 'STU-Net B', 'UniSeg']",DKFZ
SegVol,0.7849241495132446,0.51 - 0.99,"['STU-Net H', 'nnU-Net_ResEncL', 'STU-Net B', 'UniSeg']",BAAI
UNEST,0.7359515130519867,0.31 - 0.93,"['U-Net_CLIP', 'Swin_UNETR_CLIP']",NVIDIA
MedNeXt,0.8118396401405334,0.54 - 0.99,[],DKFZ
nnU-Net U-Net,0.80544313788414,0.52 - 0.99,['Diff-UNet'],N/A
MedFormer,0.8511532545089722,0.53 - 0.99,[],Rutgers
Swin_UNETR,0.7403203845024109,0.36 - 0.94,"['U-Net_CLIP', 'Swin_UNETR_CLIP']",Collecting Data
STU-Net B,0.7916913330554962,0.51 - 0.98,"['STU-Net H', 'nnU-Net_ResEncL', 'SegVol', 'UniSeg']",Collecting Data
STU-Net L,0.7810302376747131,0.50 - 0.98,[],Collecting Data
UCTransNet,0.8395413458347321,0.56 - 0.97,[],Collecting Data
UniSeg,0.7929205596446991,0.52 - 0.98,"['nnU-Net_ResEncL', 'SegVol', 'STU-Net B']",NPU
SAM-Adapter,0.4965498149394989,0.31 - 0.62,[],Duke
