Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.727711798297548,0.7517520189285278,
U-Net_CLIP,0.7868652030421845,0.8065964877605438,Swin_UNETR_CLIP
Diff-UNet,0.7953658706846927,0.8163895010948181,"MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
LHU-Net,0.7866926012526724,0.8065651059150696,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, nnU-Net U-Net"
NexToU,0.7508765078475502,0.7779338955879211,Swin_UNETR
Swin_UNETR_CLIP,0.780650231141159,0.8009928464889526,U-Net_CLIP
STU-Net H,0.7922086492849685,0.8122263550758362,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, LHU-Net, STU-Net L, nnU-Net U-Net"
nnU-Net_ResEncL,0.7912980990380776,0.8119269013404846,"Diff-UNet, MedFormer, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
SegVol,0.7916958122042989,0.8111510276794434,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
UNEST,0.7222777115625777,0.7436103820800781,
MedNeXt,0.7878687758062415,0.8085516095161438,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, STU-Net H, LHU-Net, nnU-Net U-Net"
nnU-Net U-Net,0.7910782626269723,0.8123095035552979,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L"
MedFormer,0.8067552702675245,0.8235940337181091,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
Swin_UNETR,0.7461894303195735,0.7697975635528564,NexToU
STU-Net B,0.7932056562278144,0.8140864372253418,"Diff-UNet, MedFormer, nnU-Net_ResEncL, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
STU-Net L,0.7897775750285981,0.8098241090774536,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, nnU-Net U-Net"
UCTransNet,0.7332268549417331,0.767734944820404,SAM-Adapter
UniSeg,0.7867520838719797,0.8052160143852234,SegVol
SAM-Adapter,0.6617185308756062,0.6872727274894714,UCTransNet
