Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7320549247576595,0.754456102848053,"NexToU, Swin_UNETR, SAM-Adapter"
U-Net_CLIP,0.7867613546667687,0.8063601851463318,Swin_UNETR_CLIP
Diff-UNet,0.810308676304915,0.8368199467658997,"MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
LHU-Net,0.7913629417891345,0.8157946765422821,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, nnU-Net U-Net"
NexToU,0.7572166917324585,0.7894927859306335,"UNETR, Swin_UNETR, SAM-Adapter"
Swin_UNETR_CLIP,0.790256855129073,0.8119595050811768,U-Net_CLIP
STU-Net H,0.801268998637518,0.8261059522628784,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, LHU-Net, STU-Net L, nnU-Net U-Net"
nnU-Net_ResEncL,0.8029563415538755,0.8284393548965454,"Diff-UNet, MedFormer, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
SegVol,0.8022268229902366,0.8266944885253906,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, nnU-Net U-Net"
UNEST,0.7262408127914814,0.7456004619598389,
MedNeXt,0.8003076393689759,0.8264315128326416,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, STU-Net H, LHU-Net, nnU-Net U-Net"
nnU-Net U-Net,0.7994008838391689,0.8256931900978088,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L"
MedFormer,0.829647922879284,0.8509977161884308,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, nnU-Net U-Net"
Swin_UNETR,0.7365387652019182,0.7612074613571167,"UNETR, NexToU"
STU-Net B,0.8017483762656349,0.8279396891593933,"Diff-UNet, MedFormer, nnU-Net_ResEncL, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, nnU-Net U-Net"
STU-Net L,0.7966655035432401,0.8226287364959717,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, nnU-Net U-Net"
UCTransNet,0.7330933931386048,0.7771108746528625,
UniSeg,0.7983878967089066,0.8214507102966309,
SAM-Adapter,0.7000820686062565,0.7226077318191528,"UNETR, NexToU"
