Model_name,Median,95% CI,Likely_models,organization
UNETR,0.754456102848053,0.44 - 0.90,[],NVIDIA
U-Net_CLIP,0.8063601851463318,0.55 - 0.90,[],CityU
Diff-UNet,0.8368199467658997,0.54 - 0.93,[],HKUST
LHU-Net,0.8157946765422821,0.52 - 0.92,['Swin_UNETR_CLIP'],UR
NexToU,0.7894927859306335,0.45 - 0.91,[],HIT
Swin_UNETR_CLIP,0.8119595050811768,0.53 - 0.91,['LHU-Net'],CityU
STU-Net H,0.8261059522628784,0.53 - 0.93,"['nnU-Net_ResEncL', 'SegVol', 'STU-Net B']",Shanghai AI Lab
nnU-Net_ResEncL,0.8284393548965454,0.53 - 0.93,"['STU-Net H', 'SegVol', 'STU-Net B']",DKFZ
SegVol,0.8266944885253906,0.54 - 0.92,"['STU-Net H', 'nnU-Net_ResEncL', 'MedNeXt', 'nnU-Net U-Net', 'STU-Net B']",BAAI
UNEST,0.7456004619598389,0.46 - 0.89,[],NVIDIA
MedNeXt,0.8264315128326416,0.52 - 0.93,"['SegVol', 'STU-Net B']",DKFZ
nnU-Net U-Net,0.8256931900978088,0.52 - 0.93,"['SegVol', 'STU-Net B']",N/A
MedFormer,0.8509977161884308,0.57 - 0.94,[],Rutgers
Swin_UNETR,0.7612074613571167,0.42 - 0.90,[],Collecting Data
STU-Net B,0.8279396891593933,0.53 - 0.93,"['STU-Net H', 'nnU-Net_ResEncL', 'SegVol', 'MedNeXt', 'nnU-Net U-Net']",Collecting Data
STU-Net L,0.8226287364959717,0.52 - 0.93,[],Collecting Data
UCTransNet,0.7771108746528625,0.29 - 0.91,[],Collecting Data
UniSeg,0.8214507102966309,0.54 - 0.92,[],NPU
SAM-Adapter,0.7226077318191528,0.39 - 0.85,[],Duke
