Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7310919597387898,0.746977299451828,Swin_UNETR
U-Net_CLIP,0.7780008518130854,0.793049156665802,"SegVol, Swin_UNETR_CLIP"
Diff-UNet,0.7819691496060763,0.8001906871795654,"nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, LHU-Net, STU-Net L, UniSeg, nnU-Net U-Net"
LHU-Net,0.7775178223035227,0.7959119081497192,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, MedNeXt, STU-Net H, STU-Net L, UniSeg, nnU-Net U-Net"
NexToU,0.7624562852210772,0.7826097905635834,Swin_UNETR_CLIP
Swin_UNETR_CLIP,0.7810747033650205,0.8000011146068573,"U-Net_CLIP, NexToU"
STU-Net H,0.7944959901560871,0.8133358657360077,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, LHU-Net, nnU-Net U-Net"
nnU-Net_ResEncL,0.7888210721654767,0.8077435195446014,"Diff-UNet, MedFormer, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
SegVol,0.7785643281370713,0.796538233757019,"U-Net_CLIP, Diff-UNet, LHU-Net, UniSeg"
UNEST,0.7333472776114813,0.7475162446498871,Swin_UNETR
MedNeXt,0.790480366736402,0.8085751533508301,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H, LHU-Net, nnU-Net U-Net"
nnU-Net U-Net,0.7812417161560214,0.7999897599220276,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg"
MedFormer,0.8119845029331785,0.8298340439796448,"nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net H"
Swin_UNETR,0.7370555884925946,0.75262051820755,"UNETR, UNEST"
STU-Net B,0.7861195742622091,0.8040902018547058,"Diff-UNet, nnU-Net_ResEncL, STU-Net L, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
STU-Net L,0.7903964576354516,0.8096081912517548,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, MedNeXt, STU-Net H, LHU-Net, UniSeg, nnU-Net U-Net"
UCTransNet,0.7140659775399468,0.7378278970718384,
UniSeg,0.7948417329836712,0.8121825158596039,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, SegVol, STU-Net L, LHU-Net, nnU-Net U-Net"
SAM-Adapter,0.6230859191249076,0.6391803026199341,
