Model_name,Median,95% CI,Likely_models,organization
UNETR,0.746977299451828,51.0 - 86.0,['UNEST'],NVIDIA
U-Net_CLIP,0.793049156665802,58.0 - 89.3,"['STU-Net H', 'UniSeg']",CityU
Diff-UNet,0.8001906871795654,56.4 - 90.4,['nnU-Net U-Net'],HKUST
LHU-Net,0.7959119081497192,56.5 - 89.4,['SegVol'],UR
NexToU,0.7826097905635834,52.5 - 89.6,[],HIT
Swin_UNETR_CLIP,0.8000011146068573,56.2 - 89.8,[],CityU
STU-Net H,0.8133358657360077,57.8 - 91.4,"['U-Net_CLIP', 'UniSeg']",Shanghai AI Lab
nnU-Net_ResEncL,0.8077435195446014,56.6 - 90.9,"['MedNeXt', 'STU-Net L']",DKFZ
SegVol,0.796538233757019,55.7 - 90.5,['LHU-Net'],BAAI
UNEST,0.7475162446498871,53.0 - 85.8,['UNETR'],NVIDIA
MedNeXt,0.8085751533508301,57.3 - 91.0,"['nnU-Net_ResEncL', 'STU-Net L']",DKFZ
nnU-Net U-Net,0.7999897599220276,55.9 - 90.3,['Diff-UNet'],N/A
MedFormer,0.8298340439796448,60.4 - 92.5,[],Rutgers
Swin_UNETR,0.75262051820755,51.6 - 86.7,[],Collecting Data
STU-Net B,0.8040902018547058,57.2 - 90.4,[],Collecting Data
STU-Net L,0.8096081912517548,57.4 - 91.1,"['nnU-Net_ResEncL', 'MedNeXt']",Collecting Data
UCTransNet,0.7378278970718384,43.1 - 86.6,[],Collecting Data
UniSeg,0.8121825158596039,59.0 - 90.8,"['U-Net_CLIP', 'STU-Net H']",NPU
SAM-Adapter,0.6391803026199341,41.4 - 76.5,[],Duke
