Model_name,Median,95% CI,Likely_models,organization
UNETR,0.6667414440049065,48.0 - 77.9,[],NVIDIA
U-Net_CLIP,0.7585225900014242,60.7 - 84.3,"['LHU-Net', 'NexToU', 'Swin_UNETR_CLIP']",CityU
Diff-UNet,0.770631406042311,62.5 - 85.9,['nnU-Net U-Net'],HKUST
LHU-Net,0.7582021488083733,61.6 - 84.2,"['U-Net_CLIP', 'Swin_UNETR_CLIP', 'SegVol']",UR
NexToU,0.7618719968530867,59.4 - 85.7,"['U-Net_CLIP', 'Swin_UNETR_CLIP']",HIT
Swin_UNETR_CLIP,0.7566430634922452,60.2 - 84.4,"['U-Net_CLIP', 'LHU-Net', 'NexToU']",CityU
STU-Net H,0.7810796499252319,64.2 - 86.6,[],Shanghai AI Lab
nnU-Net_ResEncL,0.7742223805851407,63.8 - 85.9,[],DKFZ
SegVol,0.7554393973615434,60.5 - 84.9,['LHU-Net'],BAAI
UNEST,0.6844073037306467,52.7 - 78.9,[],NVIDIA
MedNeXt,0.7795037428538004,64.1 - 86.6,[],DKFZ
nnU-Net U-Net,0.7717238797081841,63.0 - 85.7,['Diff-UNet'],N/A
MedFormer,0.802276184161504,66.3 - 88.0,[],Rutgers
Swin_UNETR,0.6994337307082282,50.9 - 80.5,[],Collecting Data
STU-Net B,0.7762708531485663,63.6 - 86.2,['STU-Net L'],Collecting Data
STU-Net L,0.7779790957768759,63.8 - 86.5,['STU-Net B'],Collecting Data
UCTransNet,0.6798204812738631,44.1 - 79.8,[],Collecting Data
UniSeg,0.779194520579444,64.6 - 86.1,[],NPU
SAM-Adapter,0.5052981318698989,37.7 - 58.4,[],Duke
