Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.5451113316561397,0.5669468641281128,
U-Net_CLIP,0.673620971835351,0.6963662803173065,"Diff-UNet, nnU-Net U-Net, Swin_UNETR_CLIP"
Diff-UNet,0.6692838492971406,0.6906440854072571,"U-Net_CLIP, Swin_UNETR_CLIP"
LHU-Net,0.6507500096045575,0.669942319393158,
NexToU,0.6859524570504848,0.7156646251678467,"nnU-Net_ResEncL, STU-Net B"
Swin_UNETR_CLIP,0.6693701942650083,0.6924603879451752,"U-Net_CLIP, Diff-UNet, nnU-Net U-Net"
STU-Net H,0.6969507422077911,0.7165579199790955,"UniSeg, STU-Net L, MedNeXt"
nnU-Net_ResEncL,0.6821700301079489,0.7020848393440247,NexToU
SegVol,0.6587862832323466,0.6768621802330017,
UNEST,0.5796280746744399,0.5973653197288513,
MedNeXt,0.6932878309389603,0.711937427520752,"STU-Net B, STU-Net L, STU-Net H"
nnU-Net U-Net,0.6740750292016129,0.6934273838996887,"U-Net_CLIP, Swin_UNETR_CLIP"
MedFormer,0.7136933096743691,0.7351426482200623,
Swin_UNETR,0.5921350626918452,0.616847813129425,
STU-Net B,0.6903336449464202,0.7093996405601501,"MedNeXt, NexToU"
STU-Net L,0.6968646358266753,0.7151764631271362,"UniSeg, MedNeXt, STU-Net H"
UCTransNet,0.4487880319108091,0.4750972390174866,
UniSeg,0.6993502921488662,0.7185471057891846,"STU-Net L, STU-Net H"
SAM-Adapter,0.22418124404344608,0.22534985840320587,
