Model_name,Median,95% CI,Likely_models,organization
UNETR,0.5669468641281128,22.1 - 73.7,[],NVIDIA
U-Net_CLIP,0.6963662803173065,35.8 - 83.8,"['Swin_UNETR_CLIP', 'nnU-Net_ResEncL']",CityU
Diff-UNet,0.6906440854072571,34.3 - 84.0,['nnU-Net U-Net'],HKUST
LHU-Net,0.669942319393158,34.8 - 82.0,[],UR
NexToU,0.7156646251678467,30.9 - 87.2,"['MedNeXt', 'STU-Net B']",HIT
Swin_UNETR_CLIP,0.6924603879451752,31.8 - 83.7,"['U-Net_CLIP', 'nnU-Net U-Net']",CityU
STU-Net H,0.7165579199790955,40.7 - 85.4,['STU-Net L'],Shanghai AI Lab
nnU-Net_ResEncL,0.7020848393440247,38.7 - 84.0,['U-Net_CLIP'],DKFZ
SegVol,0.6768621802330017,36.4 - 83.6,[],BAAI
UNEST,0.5973653197288513,30.0 - 74.6,[],NVIDIA
MedNeXt,0.711937427520752,40.2 - 85.4,"['NexToU', 'STU-Net B']",DKFZ
nnU-Net U-Net,0.6934273838996887,36.9 - 84.0,"['Diff-UNet', 'Swin_UNETR_CLIP']",N/A
MedFormer,0.7351426482200623,39.2 - 87.6,[],Rutgers
Swin_UNETR,0.616847813129425,22.2 - 77.8,[],Collecting Data
STU-Net B,0.7093996405601501,41.1 - 84.9,"['NexToU', 'MedNeXt']",Collecting Data
STU-Net L,0.7151764631271362,40.4 - 85.5,['STU-Net H'],Collecting Data
UCTransNet,0.4750972390174866,5.3 - 74.0,[],Collecting Data
UniSeg,0.7185471057891846,42.0 - 85.1,[],NPU
SAM-Adapter,0.22534985840320587,10.0 - 34.6,[],Duke
