Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.5471488943589731,0.5594602525234222,
U-Net_CLIP,0.6804412642901426,0.6900696158409119,NexToU
Diff-UNet,0.701870613750598,0.7127087414264679,"nnU-Net_ResEncL, nnU-Net U-Net, STU-Net H, MedFormer"
LHU-Net,0.6814652967097138,0.6912972331047058,
NexToU,0.6623880140538764,0.6718423068523407,"U-Net_CLIP, SegVol"
Swin_UNETR_CLIP,0.6618744264760766,0.673583984375,
STU-Net H,0.7068279249577508,0.7156678140163422,"Diff-UNet, MedFormer, STU-Net B, STU-Net L, MedNeXt, UniSeg, nnU-Net U-Net"
nnU-Net_ResEncL,0.6980527170723149,0.7088098227977753,"Diff-UNet, MedFormer"
SegVol,0.667177782054749,0.6752570569515228,NexToU
UNEST,0.6037269152516819,0.6147861778736115,
MedNeXt,0.7079764297822027,0.7175984978675842,"STU-Net B, STU-Net L, STU-Net H, UniSeg, nnU-Net U-Net"
nnU-Net U-Net,0.7017333646658251,0.7108190357685089,"Diff-UNet, MedFormer, STU-Net B, STU-Net L, MedNeXt, STU-Net H, UniSeg"
MedFormer,0.7182535563615504,0.7342654466629028,"nnU-Net_ResEncL, Diff-UNet, nnU-Net U-Net, STU-Net H"
Swin_UNETR,0.6081252225752111,0.6206807792186737,
STU-Net B,0.705479115259386,0.715347409248352,"STU-Net L, MedNeXt, STU-Net H, UniSeg, nnU-Net U-Net"
STU-Net L,0.70662746910906,0.7162281274795532,"STU-Net B, MedNeXt, STU-Net H, UniSeg, nnU-Net U-Net"
UCTransNet,0.5631045158711772,0.5824980437755585,
UniSeg,0.7019233591938728,0.7112770974636078,"STU-Net B, STU-Net L, MedNeXt, STU-Net H, nnU-Net U-Net"
SAM-Adapter,0.3821514614693675,0.3897041380405426,
