Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.7835775518367006,0.8185373842716217,UCTransNet
U-Net_CLIP,0.864604542750105,0.8903194665908813,"SegVol, Swin_UNETR_CLIP"
Diff-UNet,0.8870595293624584,0.9154842793941498,"nnU-Net_ResEncL, STU-Net B, MedNeXt, STU-Net H, UniSeg, nnU-Net U-Net"
LHU-Net,0.8706970345155938,0.8986548781394958,SegVol
NexToU,0.8819975029618548,0.913849413394928,nnU-Net U-Net
Swin_UNETR_CLIP,0.8595165994429612,0.8880803883075714,U-Net_CLIP
STU-Net H,0.8908189997350275,0.917244017124176,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, UniSeg"
nnU-Net_ResEncL,0.8904534894239868,0.9168803095817566,"Diff-UNet, STU-Net B, STU-Net L, MedNeXt, STU-Net H, UniSeg"
SegVol,0.8668077161333088,0.895663857460022,"U-Net_CLIP, LHU-Net"
UNEST,0.8069033008982842,0.8308550119400024,Swin_UNETR
MedNeXt,0.8887669067837438,0.9154491722583771,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H, UniSeg, nnU-Net U-Net"
nnU-Net U-Net,0.8856122492554287,0.9126212298870087,"Diff-UNet, STU-Net B, NexToU, MedNeXt, UniSeg"
MedFormer,0.9132490569413828,0.9380826354026794,
Swin_UNETR,0.8047509590719357,0.8343469500541687,UNEST
STU-Net B,0.8872905406832716,0.9143185019493104,"Diff-UNet, nnU-Net_ResEncL, MedNeXt, STU-Net H, UniSeg, nnU-Net U-Net"
STU-Net L,0.8913815678270726,0.9182466268539428,"nnU-Net_ResEncL, MedNeXt, STU-Net H, UniSeg"
UCTransNet,0.787080363584035,0.8234562575817108,UNETR
UniSeg,0.8877234743001726,0.9127149283885956,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, STU-Net L, MedNeXt, STU-Net H, nnU-Net U-Net"
SAM-Adapter,0.708734603728949,0.7424727082252502,
