Model,Mean,Median,No_Significant_Diff_Models
UNETR,0.5380416787330896,0.5471553802490234,
U-Net_CLIP,0.6993545245304916,0.7221218347549438,"SegVol, NexToU, Swin_UNETR_CLIP"
Diff-UNet,0.6886746455367249,0.7103830575942993,"UniSeg, nnU-Net U-Net, LHU-Net, MedFormer"
LHU-Net,0.6927769025995888,0.715440958738327,Diff-UNet
NexToU,0.6997152967147703,0.7249898314476013,"U-Net_CLIP, SegVol"
Swin_UNETR_CLIP,0.7007817559845232,0.7273217439651489,"U-Net_CLIP, SegVol"
STU-Net H,0.723551732319189,0.74950110912323,"STU-Net L, MedNeXt"
nnU-Net_ResEncL,0.7067311307466143,0.7303891181945801,"MedFormer, STU-Net B, MedNeXt, UniSeg, nnU-Net U-Net"
SegVol,0.682342065368419,0.7024390697479248,"U-Net_CLIP, NexToU, Swin_UNETR_CLIP"
UNEST,0.6162270943633306,0.6299937963485718,
MedNeXt,0.7152975480458725,0.7381018400192261,"MedFormer, nnU-Net_ResEncL, STU-Net B, STU-Net L, STU-Net H, UniSeg, nnU-Net U-Net"
nnU-Net U-Net,0.7014164003367789,0.7259171009063721,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, MedNeXt, UniSeg"
MedFormer,0.7292963918844974,0.756248950958252,"Diff-UNet, nnU-Net_ResEncL, STU-Net B, MedNeXt, UniSeg, nnU-Net U-Net"
Swin_UNETR,0.6164430911803732,0.6311465501785278,
STU-Net B,0.7047424958183117,0.7294753193855286,"MedFormer, nnU-Net_ResEncL, STU-Net L, MedNeXt, UniSeg, nnU-Net U-Net"
STU-Net L,0.7165767612180123,0.741512656211853,"STU-Net B, MedNeXt, STU-Net H"
UCTransNet,0.5143421485033481,0.5263110399246216,
UniSeg,0.7238501851496874,0.7476249933242798,"Diff-UNet, MedFormer, nnU-Net_ResEncL, STU-Net B, MedNeXt, nnU-Net U-Net"
SAM-Adapter,0.48035933423840305,0.49552521109580994,
