Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.5468342473928057,0.694215714931488,"Vision_Language_Swin_UNETR_CLIP, MONAI_Swin_UNETR"
MONAI_LHU-Net,0.6298832430922203,0.7863204479217529,"MONAI_SegVol, nnU-Net_NexToU, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.5895708617835809,0.6891010999679565,"MONAI_SegVol, nnU-Net_NexToU, Vision_Language_Swin_UNETR_CLIP, _Diff-UNet"
nnU-Net_UniSeg,0.6916089746692003,0.8503364622592926,"_MedFormer, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_ResEncL,0.7383781391422906,0.8376138508319855,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7468120599393538,0.8802193105220795,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_MedNeXt, nnU-Net_STU-Net_L"
_MedFormer,0.7031644574199518,0.8338730037212372,"nnU-Net_UniSeg, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_MedNeXt,0.7190660713749585,0.8673371374607086,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.4099500471679631,0.45929174125194544,
Vision_Language_Swin_UNETR_CLIP,0.5858843818725101,0.7058584690093994,"Vision_Language_U-Net_CLIP, MONAI_UNEST, nnU-Net_NexToU, _Diff-UNet, MONAI_SegVol"
MONAI_SegVol,0.6083170206866952,0.7053835093975067,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.4966829141465597,0.6030880808830261,
nnU-Net_NexToU,0.6151831005805162,0.7498782873153687,"Vision_Language_U-Net_CLIP, _Diff-UNet, MONAI_LHU-Net, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.15176023455166024,0.07281012088060375,
nnU-Net_STU-Net_L,0.7572493598592811,0.8847086131572723,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H"
nnU-Net_STU-Net_B,0.7424412067321278,0.8864442110061646,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
_Diff-UNet,0.6096467456965662,0.7577695250511169,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5451497874025605,0.6823251247406006,MONAI_UNEST
nnU-Net_U-Net,0.7103936879748497,0.8315238654613495,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt"
