Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.503466533034764,0.7384576797485352,MONAI_Swin_UNETR
MONAI_LHU-Net,0.7129520115925482,0.8745874762535095,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.731350111440514,0.8678126931190491,"MONAI_UCTransNet, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.7464146081634142,0.8809423446655273,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.7798729177978304,0.8992818593978882,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7768332557511869,0.8874075710773468,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, _MedFormer, nnU-Net_MedNeXt"
_MedFormer,0.7407306102469899,0.8608776926994324,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_MedNeXt,0.7578651704170086,0.8963691592216492,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.3999189623941978,0.3823800981044769,
Vision_Language_Swin_UNETR_CLIP,0.7029265477356536,0.8468902707099915,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt"
MONAI_SegVol,0.680964508123213,0.8154887557029724,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.6959847295104905,0.8595790863037109,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_NexToU,0.7203952775785216,0.8659874200820923,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.11500204231275278,0.0155763244256377,
nnU-Net_STU-Net_L,0.7810018751449113,0.8877408504486084,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.7847315391439392,0.8951801657676697,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
_Diff-UNet,0.7183709538886669,0.8661478757858276,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5062641961511906,0.7064520120620728,MONAI_UNEST
nnU-Net_U-Net,0.7825321428693348,0.9002349972724915,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
