Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7202021613272136,0.9057031273841858,Vision_Language_Swin_UNETR_CLIP
MONAI_LHU-Net,0.8243302238432018,0.9367961287498474,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_L, nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
Vision_Language_U-Net_CLIP,0.8271309589556718,0.93857342004776,"nnU-Net_STU-Net_L, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_UniSeg,0.8193446277299407,0.9313765168190002,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.8824219576848702,0.9469267129898072,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.8651308105284156,0.9425684213638306,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt"
_MedFormer,0.8397682110766161,0.9203134179115297,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.8595216944371745,0.9435210824012756,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.41941014493527523,0.37494957447052,
Vision_Language_Swin_UNETR_CLIP,0.7703112284201039,0.9326077699661256,"MONAI_UNEST, nnU-Net_NexToU, _Diff-UNet"
MONAI_SegVol,0.8261830954071553,0.9223584532737732,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_L, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
MONAI_UCTransNet,0.6202376238536089,0.9045529961586,MONAI_Swin_UNETR
nnU-Net_NexToU,0.7871050526804322,0.9318702816963196,"Vision_Language_U-Net_CLIP, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.19916614657386317,0.129302904009819,
nnU-Net_STU-Net_L,0.8633967859431347,0.9431212544441224,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, MONAI_LHU-Net, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.8680341299118127,0.9439124464988708,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
_Diff-UNet,0.8095917930424024,0.9340613484382628,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5849269673764959,0.806106448173523,MONAI_UCTransNet
nnU-Net_U-Net,0.8767447707219586,0.9424041509628296,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
