Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7384194096482612,0.9134604930877686,"MONAI_UCTransNet, nnU-Net_NexToU"
MONAI_LHU-Net,0.8184880357676461,0.9383174777030944,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.8356807354092598,0.9369686841964722,"nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.8447219731590965,0.931879460811615,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_B, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.8887696483476744,0.9446563720703124,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.8894980624944222,0.941093921661377,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_MedNeXt"
_MedFormer,0.8547936871321872,0.9182376861572266,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.8552168100400277,0.941853404045105,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.47889030961097556,0.5580321550369263,
Vision_Language_Swin_UNETR_CLIP,0.8113751041787591,0.9399436116218568,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
MONAI_SegVol,0.8277547192844478,0.9215214848518372,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7427587704185598,0.9393525123596193,"MONAI_UNEST, nnU-Net_NexToU"
nnU-Net_NexToU,0.7818693925067782,0.9323736429214478,"MONAI_UCTransNet, MONAI_UNEST, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.08477733727541897,0.043354108929634,
nnU-Net_STU-Net_L,0.8820130907257377,0.940129280090332,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.8712818359041756,0.9400160312652588,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
_Diff-UNet,0.8130570763891394,0.9370049834251404,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5973267701285129,0.8345361351966858,
nnU-Net_U-Net,0.883873158253052,0.93837308883667,"nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
