Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.8757581646329093,0.9576022028923036,"MONAI_SegVol, nnU-Net_NexToU, MONAI_LHU-Net"
MONAI_LHU-Net,0.8769793920481405,0.9673057198524476,"MONAI_UNEST, MONAI_SegVol, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.9155219024919122,0.9673129320144652,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.9172540069147777,0.9690596461296082,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.9169961169696336,0.973261535167694,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_STU-Net_H,0.9398815469696994,0.9733090400695801,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, _MedFormer, nnU-Net_MedNeXt"
_MedFormer,0.9281682430917183,0.9654657244682312,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_MedNeXt,0.9298908210761054,0.974435567855835,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.7813153709022173,0.9201374650001526,MONAI_Swin_UNETR
Vision_Language_Swin_UNETR_CLIP,0.9162646066760076,0.9680119752883912,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt"
MONAI_SegVol,0.8941303700175552,0.9660704135894777,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, MONAI_UNEST, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.8257238034215412,0.960321605205536,MONAI_Swin_UNETR
nnU-Net_NexToU,0.8757900493238219,0.9667105674743652,"MONAI_UNEST, MONAI_SegVol, MONAI_LHU-Net"
_SAM-Adapter,0.6636510713199746,0.853463351726532,
nnU-Net_STU-Net_L,0.9423644246803425,0.9740770757198334,"nnU-Net_U-Net, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.9295408260934586,0.9727118611335754,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_Diff-UNet,0.9244341284675738,0.9706979990005492,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.8019330030541901,0.9377888441085817,"MONAI_UCTransNet, MONAI_UNETR"
nnU-Net_U-Net,0.9340360095749691,0.9735663533210754,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
