Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.9576022028923036,0.05 - 0.98,['MONAI_UCTransNet'],NVIDIA
MONAI_LHU-Net,0.9673057198524476,0.00 - 0.98,"['Vision_Language_U-Net_CLIP', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU']",UR
Vision_Language_U-Net_CLIP,0.9673129320144652,0.47 - 0.98,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP']",CityU
nnU-Net_UniSeg,0.9690596461296082,0.40 - 0.98,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'Vision_Language_Swin_UNETR_CLIP']",Collecting Data
nnU-Net_ResEncL,0.973261535167694,0.01 - 0.98,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', '_Diff-UNet']",DKFZ
nnU-Net_STU-Net_H,0.9733090400695801,0.66 - 0.98,"['nnU-Net_UniSeg', 'nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.9654657244682312,0.55 - 0.98,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_NexToU']",Collecting Data
nnU-Net_MedNeXt,0.974435567855835,0.28 - 0.99,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",DKFZ
MONAI_UNETR,0.9201374650001526,0.00 - 0.97,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.9680119752883912,0.36 - 0.98,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg']",CityU
MONAI_SegVol,0.9660704135894777,0.00 - 0.98,['nnU-Net_NexToU'],BAAI
MONAI_UCTransNet,0.960321605205536,0.00 - 0.98,['MONAI_UNEST'],CityU
nnU-Net_NexToU,0.9667105674743652,0.01 - 0.98,"['MONAI_LHU-Net', '_MedFormer', 'MONAI_SegVol']",HIT
_SAM-Adapter,0.853463351726532,0.00 - 0.96,[],Duke
nnU-Net_STU-Net_L,0.9740770757198334,0.68 - 0.98,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.9727118611335754,0.52 - 0.98,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.9706979990005492,0.37 - 0.98,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.9377888441085817,0.00 - 0.97,[],NVIDIA
nnU-Net_U-Net,0.9735663533210754,0.49 - 0.98,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
