Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.49965791394322384,0.6159239411354065,
MONAI_LHU-Net,0.686394947144929,0.8536984920501709,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.7458363945138151,0.853210985660553,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.7033107711728347,0.8518925905227661,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.7628235452271745,0.8773232102394104,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer"
nnU-Net_STU-Net_H,0.7451013680577485,0.867411732673645,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_MedFormer,0.7245849743576215,0.8470854163169861,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_MedNeXt,0.7158729461130244,0.8668609261512756,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.2816047968366578,0.1815652996301651,_SAM-Adapter
Vision_Language_Swin_UNETR_CLIP,0.7034878711910697,0.841110110282898,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
MONAI_SegVol,0.6628551654643932,0.7875810861587524,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.5902134940959514,0.7765110731124878,
nnU-Net_NexToU,0.6680003110455522,0.8268776535987854,"MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.3092787640444023,0.3236669898033142,MONAI_UNETR
nnU-Net_STU-Net_L,0.7522342923860127,0.8678704500198364,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.7488927594512322,0.8719772696495056,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_Diff-UNet,0.6967316189772446,0.8363962769508362,"nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.4230303827381172,0.4935167133808136,
nnU-Net_U-Net,0.7517541245936211,0.8677148818969727,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
