Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.38918382187807526,0.3879339694976806,"MONAI_Swin_UNETR, MONAI_UNETR"
MONAI_LHU-Net,0.6748412238175472,0.7773334383964539,"_MedFormer, Vision_Language_U-Net_CLIP"
Vision_Language_U-Net_CLIP,0.6582158277350479,0.7464606761932373,"MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP, MONAI_LHU-Net"
nnU-Net_UniSeg,0.7281591726472822,0.8295114636421204,"_MedFormer, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.7636020033525424,0.8199559450149536,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7691557511766728,0.8156681060791016,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_MedNeXt"
_MedFormer,0.6996196347107629,0.7947114706039429,"nnU-Net_UniSeg, MONAI_LHU-Net"
nnU-Net_MedNeXt,0.7522273794922149,0.8362484574317932,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_ResEncL, nnU-Net_UniSeg, nnU-Net_STU-Net_H"
MONAI_UNETR,0.41284201438383833,0.4831880331039428,"MONAI_UNEST, MONAI_Swin_UNETR"
Vision_Language_Swin_UNETR_CLIP,0.6357553963037063,0.6913325190544128,"MONAI_SegVol, Vision_Language_U-Net_CLIP, _Diff-UNet"
MONAI_SegVol,0.6299812010116197,0.6951265931129456,"nnU-Net_NexToU, Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP, _Diff-UNet"
MONAI_UCTransNet,0.49260164457305555,0.5915408730506897,
nnU-Net_NexToU,0.5940138565991696,0.7237569093704224,"MONAI_SegVol, _Diff-UNet"
_SAM-Adapter,0.04796026583696292,0.0076944213360548,
nnU-Net_STU-Net_L,0.7757829551306946,0.8332098722457886,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.7728899957054525,0.8350788950920105,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
_Diff-UNet,0.6073953217409044,0.7253852486610413,"MONAI_SegVol, nnU-Net_NexToU, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.38135084245216466,0.3740357160568237,"MONAI_UNEST, MONAI_UNETR"
nnU-Net_U-Net,0.7644601050152476,0.838933527469635,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
