Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.3879339694976806,0.0 - 90.7,['MONAI_UNETR'],NVIDIA
MONAI_LHU-Net,0.7773334383964539,0.0 - 95.0,['_MedFormer'],UR
Vision_Language_U-Net_CLIP,0.7464606761932373,0.0 - 94.7,[],CityU
nnU-Net_UniSeg,0.8295114636421204,0.0 - 95.5,['nnU-Net_ResEncL'],Collecting Data
nnU-Net_ResEncL,0.8199559450149536,17.1 - 95.9,"['nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L']",DKFZ
nnU-Net_STU-Net_H,0.8156681060791016,27.2 - 95.9,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.7947114706039429,0.4 - 92.3,['MONAI_LHU-Net'],Collecting Data
nnU-Net_MedNeXt,0.8362484574317932,0.0 - 95.7,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.4831880331039428,0.0 - 87.9,['MONAI_UNEST'],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.6913325190544128,0.0 - 94.2,"['MONAI_SegVol', 'nnU-Net_NexToU', '_Diff-UNet']",CityU
MONAI_SegVol,0.6951265931129456,0.0 - 91.7,"['Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU', '_Diff-UNet']",BAAI
MONAI_UCTransNet,0.5915408730506897,0.0 - 94.0,[],CityU
nnU-Net_NexToU,0.7237569093704224,0.0 - 94.1,"['Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol']",HIT
_SAM-Adapter,0.0076944213360548,0.0 - 26.1,[],Duke
nnU-Net_STU-Net_L,0.8332098722457886,29.9 - 96.0,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.8350788950920105,27.0 - 96.0,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.7253852486610413,0.0 - 95.1,"['Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol']",HKUST
MONAI_Swin_UNETR,0.3740357160568237,0.0 - 89.2,[],NVIDIA
nnU-Net_U-Net,0.838933527469635,10.5 - 95.9,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
