Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.638779505198495,0.7584814429283142,MONAI_UCTransNet
MONAI_LHU-Net,0.7131958641701417,0.8803412616252899,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.7765880452980306,0.8942082226276398,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_UniSeg,0.740330492471306,0.892185240983963,"Vision_Language_U-Net_CLIP, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.7891423654181576,0.9052037000656128,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7848948407361724,0.8984644412994385,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _MedFormer, nnU-Net_MedNeXt"
_MedFormer,0.8035019796966034,0.9087165594100952,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.7723208092376772,0.9147979617118835,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.4210993567891159,0.46414797008037567,
Vision_Language_Swin_UNETR_CLIP,0.7119445545383992,0.8596153259277344,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_LHU-Net, MONAI_SegVol"
MONAI_SegVol,0.7163368421367754,0.8522512912750244,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.6156548234611917,0.7981656789779663,MONAI_UNEST
nnU-Net_NexToU,0.690345260270845,0.8698698282241821,"MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP, _Diff-UNet, MONAI_LHU-Net"
_SAM-Adapter,0.483725689007627,0.5601815283298492,MONAI_Swin_UNETR
nnU-Net_STU-Net_L,0.7969390464234464,0.9087437987327576,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.785966309842693,0.9086611866950989,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
_Diff-UNet,0.7341961174214364,0.8750680685043335,"nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5223887744374562,0.6347887516021729,_SAM-Adapter
nnU-Net_U-Net,0.7893635051767727,0.9105371534824371,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
