Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.7584814429283142,0.00 - 0.95,['MONAI_UCTransNet'],NVIDIA
MONAI_LHU-Net,0.8803412616252899,0.00 - 0.97,"['Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.8942082226276398,0.00 - 0.97,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L']",CityU
nnU-Net_UniSeg,0.892185240983963,0.00 - 0.97,"['nnU-Net_STU-Net_H', '_Diff-UNet']",Collecting Data
nnU-Net_ResEncL,0.9052037000656128,0.00 - 0.98,"['nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
nnU-Net_STU-Net_H,0.8984644412994385,0.01 - 0.98,"['Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', '_MedFormer', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.9087165594100952,0.07 - 0.97,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_MedNeXt,0.9147979617118835,0.00 - 0.98,"['Vision_Language_U-Net_CLIP', 'nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.46414797008037567,0.00 - 0.90,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8596153259277344,0.00 - 0.97,"['MONAI_LHU-Net', 'MONAI_SegVol', 'nnU-Net_NexToU']",CityU
MONAI_SegVol,0.8522512912750244,0.00 - 0.96,"['MONAI_LHU-Net', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU']",BAAI
MONAI_UCTransNet,0.7981656789779663,0.00 - 0.97,['MONAI_UNEST'],CityU
nnU-Net_NexToU,0.8698698282241821,0.00 - 0.97,"['Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol']",HIT
_SAM-Adapter,0.5601815283298492,0.00 - 0.91,[],Duke
nnU-Net_STU-Net_L,0.9087437987327576,0.02 - 0.98,"['Vision_Language_U-Net_CLIP', 'nnU-Net_ResEncL', '_MedFormer', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.9086611866950989,0.00 - 0.98,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.8750680685043335,0.00 - 0.97,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H']",HKUST
MONAI_Swin_UNETR,0.6347887516021729,0.00 - 0.95,[],NVIDIA
nnU-Net_U-Net,0.9105371534824371,0.00 - 0.98,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
