Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.5159749286983275,0.6534214317798615,"MONAI_UCTransNet, MONAI_Swin_UNETR"
MONAI_LHU-Net,0.5919548622489409,0.7319329380989075,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.5748110068506934,0.6816084086894989,"nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.6733102530462088,0.8036670088768005,"_MedFormer, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_ResEncL,0.7134683087953717,0.7971602082252502,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7266460807590964,0.8493436574935913,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_MedNeXt, nnU-Net_STU-Net_L"
_MedFormer,0.6785175322880361,0.792730987071991,"nnU-Net_UniSeg, nnU-Net_MedNeXt, nnU-Net_U-Net"
nnU-Net_MedNeXt,0.6953286645201745,0.828975111246109,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.3680899855840029,0.38805350661277765,
Vision_Language_Swin_UNETR_CLIP,0.565572829429039,0.6834916770458221,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, MONAI_SegVol"
MONAI_SegVol,0.576092318552076,0.6427479684352875,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.48146643307472764,0.58283731341362,"MONAI_UNEST, MONAI_Swin_UNETR"
nnU-Net_NexToU,0.5951729393178326,0.7237903475761414,"Vision_Language_U-Net_CLIP, _Diff-UNet, MONAI_LHU-Net, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.17121390671336456,0.12960823625326157,
nnU-Net_STU-Net_L,0.7404174380487044,0.8535614013671875,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H"
nnU-Net_STU-Net_B,0.7181011617458797,0.8568610548973083,"nnU-Net_ResEncL, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H"
_Diff-UNet,0.5770866138064636,0.7046439051628113,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5116089566173533,0.6059679090976715,"MONAI_UNEST, MONAI_UCTransNet"
nnU-Net_U-Net,0.6844603713974964,0.7936300039291382,"nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt, nnU-Net_ResEncL"
