Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.4573063900073369,0.5461788177490234,MONAI_Swin_UNETR
MONAI_LHU-Net,0.6977671688353574,0.8384942412376404,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.7147949638224587,0.8160794377326965,"MONAI_UCTransNet, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.7320971745187071,0.8675429821014404,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.76647812049422,0.8774929046630859,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7653750290387663,0.8706927597522736,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt"
_MedFormer,0.7103335207581511,0.8247712850570679,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_MedNeXt,0.7489531056610522,0.8754491209983826,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_NexToU, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.3290455539262405,0.2569750249385834,
Vision_Language_Swin_UNETR_CLIP,0.6876391060374402,0.8212634921073914,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt"
MONAI_SegVol,0.6332379167968476,0.7336905598640442,"MONAI_UCTransNet, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.6731400327825988,0.8297376036643982,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_NexToU,0.7043790941851007,0.8473988175392151,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.06379051789192963,0.0062565170228481,
nnU-Net_STU-Net_L,0.7672693842122781,0.8631066381931305,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.775142882115863,0.8752940893173218,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_UniSeg, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
_Diff-UNet,0.6885968267676179,0.8318725228309631,"MONAI_UCTransNet, Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.46347484529294347,0.5727999806404114,MONAI_UNEST
nnU-Net_U-Net,0.7747915199233426,0.888138473033905,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
