Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.6674610669574684,0.8103309273719788,
MONAI_LHU-Net,0.780026607898506,0.8929268717765808,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.788831968807568,0.8836755156517029,"nnU-Net_STU-Net_L, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_UniSeg,0.7888148175473562,0.886204719543457,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_L, nnU-Net_NexToU, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.8519856858272421,0.9081589579582214,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.8293126769226175,0.904269516468048,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt"
_MedFormer,0.7918371632754392,0.8607594966888428,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_L, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.8275076489153681,0.902745008468628,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.3554153973816784,0.2694817185401916,
Vision_Language_Swin_UNETR_CLIP,0.7415964280152536,0.8812154531478882,"nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_LHU-Net, MONAI_SegVol"
MONAI_SegVol,0.7658756944366684,0.840107798576355,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.5958396537876609,0.8264782428741455,
nnU-Net_NexToU,0.7462918942111497,0.8632907867431641,"Vision_Language_U-Net_CLIP, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.24317035235728973,0.211694449186325,
nnU-Net_STU-Net_L,0.8299667326160906,0.9022469520568848,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.8327803256084858,0.8994547128677368,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
_Diff-UNet,0.7621489069787628,0.8699227571487427,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5310440367659933,0.6850851774215698,
nnU-Net_U-Net,0.839050988710517,0.8993317484855652,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
