Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.694839066490531,0.8250606060028076,"MONAI_UCTransNet, nnU-Net_NexToU"
MONAI_LHU-Net,0.7741692937055433,0.8847202062606812,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, _Diff-UNet, nnU-Net_UniSeg, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
Vision_Language_U-Net_CLIP,0.7981573128158396,0.8850724697113037,"nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.810692800310525,0.8956814408302307,"Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_B, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.855796476487409,0.9048357605934144,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.8511476515393172,0.896674782037735,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_MedNeXt"
_MedFormer,0.7972307426550171,0.8535565137863159,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_MedNeXt"
nnU-Net_MedNeXt,0.8240912113270976,0.9021193981170654,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_STU-Net_H, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
MONAI_UNETR,0.4010957094866105,0.4096795320510864,
Vision_Language_Swin_UNETR_CLIP,0.7800087137249383,0.8917272090911865,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, MONAI_SegVol, nnU-Net_MedNeXt"
MONAI_SegVol,0.7724204777993939,0.8366386294364929,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, _Diff-UNet, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.7111655341372402,0.8860208988189697,"MONAI_UNEST, nnU-Net_NexToU"
nnU-Net_NexToU,0.7410161269252951,0.8667735457420349,"MONAI_UCTransNet, MONAI_UNEST, MONAI_LHU-Net, _Diff-UNet, MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.08765591677902687,0.0533305071294307,
nnU-Net_STU-Net_L,0.8443074654601905,0.8981305956840515,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.8339038987457752,0.8966982960700989,"Vision_Language_U-Net_CLIP, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
_Diff-UNet,0.7647780978679657,0.8717409372329712,"Vision_Language_U-Net_CLIP, nnU-Net_NexToU, MONAI_LHU-Net, nnU-Net_UniSeg, MONAI_SegVol, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.5320296898890625,0.6588618755340576,
nnU-Net_U-Net,0.8441024488346143,0.888049840927124,"nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
