Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.8250606060028076,0.0 - 99.6,['MONAI_SegVol'],NVIDIA
MONAI_LHU-Net,0.8847202062606812,0.0 - 100.0,"['nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'MONAI_UCTransNet', 'nnU-Net_STU-Net_L', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.8850724697113037,0.0 - 100.0,"['nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",CityU
nnU-Net_UniSeg,0.8956814408302307,0.0 - 99.6,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_UCTransNet', 'nnU-Net_STU-Net_L', '_Diff-UNet']",Collecting Data
nnU-Net_ResEncL,0.9048357605934144,20.5 - 100.0,['nnU-Net_STU-Net_L'],DKFZ
nnU-Net_STU-Net_H,0.896674782037735,30.1 - 100.0,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.8535565137863159,15.3 - 99.3,"['nnU-Net_STU-Net_H', 'MONAI_SegVol', 'MONAI_UCTransNet', 'nnU-Net_STU-Net_L']",Collecting Data
nnU-Net_MedNeXt,0.9021193981170654,0.0 - 100.0,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.4096795320510864,0.0 - 90.6,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8917272090911865,0.0 - 100.0,"['Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'MONAI_UCTransNet', 'nnU-Net_STU-Net_L']",CityU
MONAI_SegVol,0.8366386294364929,0.0 - 99.5,"['MONAI_UNEST', '_MedFormer', 'nnU-Net_STU-Net_L']",BAAI
MONAI_UCTransNet,0.8860208988189697,0.0 - 100.0,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', '_Diff-UNet']",CityU
nnU-Net_NexToU,0.8667735457420349,0.0 - 100.0,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",HIT
_SAM-Adapter,0.0533305071294307,0.0 - 32.1,[],Duke
nnU-Net_STU-Net_L,0.8981305956840515,9.9 - 100.0,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.8966982960700989,8.4 - 100.0,"['nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.8717409372329712,0.0 - 99.7,"['MONAI_LHU-Net', 'nnU-Net_UniSeg', 'nnU-Net_STU-Net_H', 'MONAI_UCTransNet', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.6588618755340576,0.0 - 98.2,[],NVIDIA
nnU-Net_U-Net,0.888049840927124,26.1 - 100.0,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
