Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.7577916029108842,0.8329416513442993,"nnU-Net_NexToU, MONAI_LHU-Net"
MONAI_LHU-Net,0.7790001480908209,0.8997975587844849,"MONAI_UNEST, MONAI_SegVol, nnU-Net_NexToU"
Vision_Language_U-Net_CLIP,0.8187750149092534,0.8876716494560242,"nnU-Net_UniSeg, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_UniSeg,0.8353868348620681,0.9121453166007996,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_B, _Diff-UNet, _MedFormer, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_ResEncL,0.8509703683929674,0.9213957190513612,"nnU-Net_U-Net, nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.8721400710590406,0.9271475374698639,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_MedNeXt"
_MedFormer,0.8295167429481989,0.8873018622398376,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, _Diff-UNet, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP"
nnU-Net_MedNeXt,0.8669182613237633,0.9262908101081848,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, _Diff-UNet, nnU-Net_STU-Net_H"
MONAI_UNETR,0.580389731743375,0.6624333262443542,
Vision_Language_Swin_UNETR_CLIP,0.8201580563608482,0.8968427181243896,"nnU-Net_UniSeg, _MedFormer, Vision_Language_U-Net_CLIP"
MONAI_SegVol,0.789722197290203,0.8673165440559387,"nnU-Net_NexToU, MONAI_LHU-Net"
MONAI_UCTransNet,0.7125429961656674,0.8539450764656067,
nnU-Net_NexToU,0.7853450867856966,0.8933065533638,"MONAI_UNEST, MONAI_SegVol, MONAI_LHU-Net"
_SAM-Adapter,0.4077336428702481,0.4505200684070587,
nnU-Net_STU-Net_L,0.8787309558474728,0.9297964870929718,"nnU-Net_MedNeXt, nnU-Net_STU-Net_H, nnU-Net_U-Net"
nnU-Net_STU-Net_B,0.8543997328669573,0.9265794157981871,"nnU-Net_U-Net, nnU-Net_ResEncL, _Diff-UNet, nnU-Net_UniSeg, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
_Diff-UNet,0.8466471297199718,0.9104572534561156,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt"
MONAI_Swin_UNETR,0.6508828289325775,0.7670792937278748,
nnU-Net_U-Net,0.8663740498991368,0.9213294386863708,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, _Diff-UNet, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
