Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.8329416513442993,6.1 - 94.1,['MONAI_UCTransNet'],NVIDIA
MONAI_LHU-Net,0.8997975587844849,0.0 - 97.7,"['Vision_Language_U-Net_CLIP', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU']",UR
Vision_Language_U-Net_CLIP,0.8876716494560242,31.1 - 97.5,"['MONAI_LHU-Net', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP']",CityU
nnU-Net_UniSeg,0.9121453166007996,8.3 - 96.8,[],Collecting Data
nnU-Net_ResEncL,0.9213957190513612,1.3 - 97.9,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
nnU-Net_STU-Net_H,0.9271475374698639,27.9 - 98.3,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.8873018622398376,21.3 - 95.8,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_NexToU']",Collecting Data
nnU-Net_MedNeXt,0.9262908101081848,15.9 - 98.0,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",DKFZ
MONAI_UNETR,0.6624333262443542,0.0 - 87.5,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8968427181243896,19.1 - 97.0,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', '_MedFormer']",CityU
MONAI_SegVol,0.8673165440559387,0.0 - 96.1,[],BAAI
MONAI_UCTransNet,0.8539450764656067,0.0 - 96.6,['MONAI_UNEST'],CityU
nnU-Net_NexToU,0.8933065533638,2.3 - 97.0,"['MONAI_LHU-Net', '_MedFormer']",HIT
_SAM-Adapter,0.4505200684070587,0.0 - 83.5,[],Duke
nnU-Net_STU-Net_L,0.9297964870929718,37.7 - 98.3,"['nnU-Net_ResEncL', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.9265794157981871,23.3 - 97.8,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",Collecting Data
_Diff-UNet,0.9104572534561156,27.2 - 97.5,[],HKUST
MONAI_Swin_UNETR,0.7670792937278748,0.0 - 91.8,[],NVIDIA
nnU-Net_U-Net,0.9213294386863708,32.4 - 97.5,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B']",N/A
