Model_name,Median,95% CI,Likely_models,organization
MONAI_UNEST,0.696710573302375,20.4 - 87.4,[],NVIDIA
MONAI_LHU-Net,0.8627201053831313,10.9 - 93.9,"['nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_STU-Net_L', '_Diff-UNet']",UR
Vision_Language_U-Net_CLIP,0.8327578488323424,45.0 - 93.0,"['nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L']",CityU
nnU-Net_UniSeg,0.8768969145086076,22.4 - 94.4,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",Collecting Data
nnU-Net_ResEncL,0.8908990605009927,41.5 - 96.1,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', 'nnU-Net_U-Net']",DKFZ
nnU-Net_STU-Net_H,0.891537156369951,28.5 - 95.9,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
_MedFormer,0.8442610336674584,49.3 - 92.8,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L', '_Diff-UNet']",Collecting Data
nnU-Net_MedNeXt,0.8813632329305012,38.4 - 95.4,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L', 'nnU-Net_U-Net']",DKFZ
MONAI_UNETR,0.4868623850246271,12.4 - 75.2,[],NVIDIA
Vision_Language_Swin_UNETR_CLIP,0.8311846223142412,16.5 - 93.2,"['nnU-Net_STU-Net_H', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_L']",CityU
MONAI_SegVol,0.7881463832325406,15.5 - 89.8,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",BAAI
MONAI_UCTransNet,0.8137510286437141,16.4 - 93.8,"['nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",CityU
nnU-Net_NexToU,0.8515971170531379,5.9 - 94.4,"['Vision_Language_U-Net_CLIP', 'nnU-Net_STU-Net_H', '_MedFormer', 'Vision_Language_Swin_UNETR_CLIP', 'nnU-Net_STU-Net_L']",HIT
_SAM-Adapter,0.26830733112163013,0.7 - 42.5,[],Duke
nnU-Net_STU-Net_L,0.8932682871818542,30.3 - 95.8,"['MONAI_LHU-Net', 'Vision_Language_U-Net_CLIP', 'nnU-Net_UniSeg', 'nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_MedNeXt', 'Vision_Language_Swin_UNETR_CLIP', 'MONAI_SegVol', 'MONAI_UCTransNet', 'nnU-Net_NexToU', 'nnU-Net_STU-Net_B', '_Diff-UNet', 'nnU-Net_U-Net']",Collecting Data
nnU-Net_STU-Net_B,0.8941877451207902,33.9 - 95.8,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_STU-Net_L']",Collecting Data
_Diff-UNet,0.8508365154266357,36.3 - 94.3,"['MONAI_LHU-Net', 'nnU-Net_STU-Net_H', '_MedFormer', 'nnU-Net_STU-Net_L']",HKUST
MONAI_Swin_UNETR,0.6637463143302335,19.2 - 86.0,[],NVIDIA
nnU-Net_U-Net,0.8829252653651767,43.2 - 95.6,"['nnU-Net_ResEncL', 'nnU-Net_STU-Net_H', 'nnU-Net_MedNeXt', 'nnU-Net_STU-Net_L']",N/A
