Model,Mean,Median,No_Significant_Diff_Models
MONAI_UNEST,0.33971308039880327,0.3161140978336334,"MONAI_Swin_UNETR, MONAI_UNETR"
MONAI_LHU-Net,0.625594766973663,0.686317503452301,"_MedFormer, Vision_Language_U-Net_CLIP"
Vision_Language_U-Net_CLIP,0.6160700810726358,0.6820129752159119,"MONAI_SegVol, Vision_Language_Swin_UNETR_CLIP, MONAI_LHU-Net"
nnU-Net_UniSeg,0.6832850682065124,0.7754895091056824,"_MedFormer, nnU-Net_MedNeXt"
nnU-Net_ResEncL,0.7093186703338259,0.7597535848617554,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_H,0.7153880237645835,0.7569839656352997,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_MedNeXt"
_MedFormer,0.6550153798745362,0.7289544343948364,"nnU-Net_UniSeg, MONAI_LHU-Net"
nnU-Net_MedNeXt,0.7002949655603466,0.7777777910232544,"nnU-Net_U-Net, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_ResEncL, nnU-Net_UniSeg, nnU-Net_STU-Net_H"
MONAI_UNETR,0.3237062509123501,0.3390122056007385,"MONAI_UNEST, MONAI_Swin_UNETR"
Vision_Language_Swin_UNETR_CLIP,0.5894493592187584,0.619939386844635,"MONAI_SegVol, Vision_Language_U-Net_CLIP, _Diff-UNet"
MONAI_SegVol,0.5610316152579835,0.5863731503486633,"nnU-Net_NexToU, Vision_Language_U-Net_CLIP, Vision_Language_Swin_UNETR_CLIP, _Diff-UNet"
MONAI_UCTransNet,0.4519059763857785,0.4926100671291351,
nnU-Net_NexToU,0.5397774874101531,0.6322517395019531,"MONAI_SegVol, _Diff-UNet"
_SAM-Adapter,0.05437355819463208,0.0165262483060359,
nnU-Net_STU-Net_L,0.7199365303264622,0.7678574025630951,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.7182528717509179,0.7643171548843384,"nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
_Diff-UNet,0.5538994583810473,0.6349782347679138,"MONAI_SegVol, nnU-Net_NexToU, Vision_Language_Swin_UNETR_CLIP"
MONAI_Swin_UNETR,0.31630053410786757,0.252136766910553,"MONAI_UNEST, MONAI_UNETR"
nnU-Net_U-Net,0.7096085186259677,0.779418408870697,"nnU-Net_ResEncL, nnU-Net_STU-Net_B, nnU-Net_STU-Net_L, nnU-Net_STU-Net_H, nnU-Net_MedNeXt"
