Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.7202021613272136,"nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP, nnU-Net_NexToU"
MONAI_LHU-Net,0.8243302238432018,"Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, _MedFormer, MONAI_SegVol, nnU-Net_STU-Net_L, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.8271309589556718,"nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_UniSeg,0.8193446277299407,"_MedFormer, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, _Diff-UNet, MONAI_UNEST, MONAI_LHU-Net, Vision_Language_U-Net_CLIP"
nnU-Net_ResEncL,0.8824219576848702,"nnU-Net_STU-Net_H, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net"
nnU-Net_STU-Net_H,0.8651308105284156,"_MedFormer, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL"
_MedFormer,0.8397682110766161,"nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.8595216944371745,"MONAI_SegVol, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_H, _MedFormer"
MONAI_UNETR,0.41941014493527523,
Vision_Language_Swin_UNETR_CLIP,0.7703112284201039,"nnU-Net_NexToU, _Diff-UNet, MONAI_UNEST, nnU-Net_UniSeg"
MONAI_SegVol,0.8261830954071553,"nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, _Diff-UNet, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt"
MONAI_UCTransNet,0.6202376238536089,MONAI_Swin_UNETR
nnU-Net_NexToU,0.7871050526804322,"_Diff-UNet, MONAI_UNEST, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP"
_SAM-Adapter,0.19916614657386317,
nnU-Net_STU-Net_L,0.8633967859431347,"nnU-Net_STU-Net_B, _Diff-UNet, nnU-Net_U-Net, MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_MedNeXt, MONAI_SegVol"
nnU-Net_STU-Net_B,0.8680341299118127,"nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, MONAI_SegVol, nnU-Net_STU-Net_L"
_Diff-UNet,0.8095917930424024,"MONAI_LHU-Net, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, _MedFormer, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, nnU-Net_STU-Net_L"
MONAI_Swin_UNETR,0.5849269673764959,MONAI_UCTransNet
nnU-Net_U-Net,0.8767447707219586,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
