Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.638779505198495,nnU-Net_NexToU
MONAI_LHU-Net,0.7131958641701417,"nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.7765880452980306,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net"
nnU-Net_UniSeg,0.740330492471306,"Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, _Diff-UNet, MONAI_LHU-Net"
nnU-Net_ResEncL,0.7891423654181576,"nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP"
nnU-Net_STU-Net_H,0.7848948407361724,"_MedFormer, nnU-Net_MedNeXt, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL"
_MedFormer,0.8035019796966034,"nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.7723208092376772,"nnU-Net_STU-Net_L, _Diff-UNet, Vision_Language_U-Net_CLIP, nnU-Net_STU-Net_H"
MONAI_UNETR,0.4210993567891159,_SAM-Adapter
Vision_Language_Swin_UNETR_CLIP,0.7119445545383992,"MONAI_SegVol, _Diff-UNet, MONAI_LHU-Net, nnU-Net_UniSeg"
MONAI_SegVol,0.7163368421367754,"nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.6156548234611917,
nnU-Net_NexToU,0.690345260270845,"MONAI_UNEST, MONAI_LHU-Net, MONAI_SegVol"
_SAM-Adapter,0.483725689007627,MONAI_UNETR
nnU-Net_STU-Net_L,0.7969390464234464,"nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.785966309842693,"nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L"
_Diff-UNet,0.7341961174214364,"MONAI_LHU-Net, nnU-Net_UniSeg, nnU-Net_MedNeXt, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol"
MONAI_Swin_UNETR,0.5223887744374562,
nnU-Net_U-Net,0.7893635051767727,"Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
