Model,Average_Score,Equivalent_Models
MONAI_UNEST,0.48826287962940257,MONAI_UCTransNet
MONAI_LHU-Net,0.6047706531726541,"Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU, _Diff-UNet"
Vision_Language_U-Net_CLIP,0.6667954470989678,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, nnU-Net_MedNeXt, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
nnU-Net_UniSeg,0.6398204044738782,"nnU-Net_MedNeXt, _Diff-UNet"
nnU-Net_ResEncL,0.6871205867660761,"nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP"
nnU-Net_STU-Net_H,0.6839969807420297,"_MedFormer, nnU-Net_MedNeXt, nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL"
_MedFormer,0.6933997485532161,"nnU-Net_STU-Net_L, nnU-Net_STU-Net_B, nnU-Net_U-Net, nnU-Net_ResEncL, nnU-Net_STU-Net_H"
nnU-Net_MedNeXt,0.670773496800108,"nnU-Net_STU-Net_L, Vision_Language_U-Net_CLIP, nnU-Net_UniSeg, nnU-Net_STU-Net_H"
MONAI_UNETR,0.2527493910445129,_SAM-Adapter
Vision_Language_Swin_UNETR_CLIP,0.5890485556860678,"MONAI_SegVol, nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net"
MONAI_SegVol,0.5871663659856102,"nnU-Net_NexToU, _Diff-UNet, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP"
MONAI_UCTransNet,0.48056280028215365,MONAI_UNEST
nnU-Net_NexToU,0.5858073257534439,"_Diff-UNet, MONAI_LHU-Net, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol"
_SAM-Adapter,0.269657309931455,MONAI_UNETR
nnU-Net_STU-Net_L,0.6921863477371036,"nnU-Net_STU-Net_B, nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, _MedFormer, nnU-Net_MedNeXt"
nnU-Net_STU-Net_B,0.6811401415439369,"nnU-Net_U-Net, Vision_Language_U-Net_CLIP, nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L"
_Diff-UNet,0.5980672597693675,"MONAI_LHU-Net, nnU-Net_UniSeg, Vision_Language_Swin_UNETR_CLIP, MONAI_SegVol, nnU-Net_NexToU"
MONAI_Swin_UNETR,0.37130333848329555,
nnU-Net_U-Net,0.6862142990792955,"nnU-Net_ResEncL, nnU-Net_STU-Net_H, _MedFormer, nnU-Net_STU-Net_L, nnU-Net_STU-Net_B"
